,City,Latitude,Humidity (%),Wind Speed (mph),Cloudyness (%)
103,lata,30.78,100,1.95,100
104,emerald,-23.53,39,9.78,76
105,isangel,-19.55,100,14.47,0
106,bahia blanca,-38.72,67,12.24,0
107,aberdeen,45.47,82,3.36,1
108,belmonte,40.36,63,2.51,0
109,yugo-kamskiy,57.7,73,8.95,40
110,kieta,-6.22,97,5.64,48
111,tapiramuta,-11.85,92,5.75,0
112,abasolo,20.45,59,11.41,90
113,yavaros,26.7,77,4.52,24
114,tivaouane,14.95,89,10.89,64
115,upernavik,72.79,85,12.46,8
116,khao yoi,13.24,78,5.82,75
117,manokwari,-0.87,99,7.99,20
118,enshi,30.29,70,1.83,64
119,faanui,-16.48,100,12.12,20
120,victoria,5.28,100,8.05,75
121,khudumelapye,-23.91,53,2.95,0
122,voh,-20.95,88,13.8,0
123,richards bay,-28.77,97,2.39,92
124,muisne,0.61,98,3.96,92
125,lerik,38.78,63,19.46,75
126,scarborough,54.28,93,2.24,32
127,revelstoke,50.99,77,2.24,1
128,kapaa,22.08,88,17.22,90
129,tasiilaq,65.61,96,1.28,0
130,souillac,45.6,77,2.24,0
131,santa rosa,-36.62,72,2.95,92
132,cabo san lucas,22.89,65,6.93,40
133,ureki,42.0,83,4.7,40
134,iquique,-20.22,82,1.12,0
135,puerto ayora,-0.74,100,12.01,76
136,egvekinot,66.32,53,3.18,92
137,neryungri,56.66,60,4.29,0
138,nalut,31.86,72,7.2,0
139,golden,51.3,89,1.61,0
140,santa barbara,34.42,67,3.36,1
141,pirajui,-22.0,95,9.1,80
142,sur,22.57,80,3.06,0
143,ancud,-41.87,98,5.75,92
144,saint-pierre,48.95,68,4.7,0
145,thompson,55.74,93,4.29,5
146,agirish,61.92,63,4.97,64
147,mareeba,-16.99,69,9.17,75
148,auki,12.18,99,6.2,92
149,ekhabi,53.51,48,13.35,44
150,araouane,18.9,54,8.21,0
151,nelson bay,-32.72,63,25.28,75
152,verkhoyansk,67.55,39,8.32,0
153,cayenne,4.94,100,5.3,90
154,yarmouth,50.71,93,1.12,0
155,sioux lookout,50.1,100,8.05,90
156,ibra,22.69,37,3.62,0
157,cherskiy,68.75,54,6.76,0
158,mezen,65.85,73,3.4,12
159,marzuq,14.4,48,4.07,36
160,moron,10.49,92,2.39,36
161,la ronge,55.1,72,5.82,20
162,husavik,50.56,94,9.33,0
163,tuatapere,-46.13,100,2.84,12
164,codrington,-28.95,61,12.01,36
165,popondetta,-8.77,75,2.28,88
166,vardo,39.62,88,3.36,1
167,kattivakkam,13.22,55,11.41,75
168,faya,18.39,77,4.63,0
169,meulaboh,4.14,100,4.52,36
170,yakima,46.6,52,6.93,1
171,port lincoln,-34.72,94,22.53,80
172,yerbogachen,61.28,56,3.74,20
173,palu,-0.9,43,1.39,20
174,zakamensk,50.38,70,3.62,8
175,vanino,53.93,68,6.76,0
176,namie,37.52,100,6.93,75
177,omsukchan,62.53,92,3.62,92
178,usinsk,66.0,68,12.46,68
179,bilibino,68.06,45,3.06,76
180,ostrovnoy,68.05,97,9.22,76
181,constitucion,23.99,37,11.68,68
182,kirakira,-10.46,100,14.92,20
183,east london,-33.02,70,10.29,0
184,hithadhoo,-0.6,100,10.78,20
185,rio gallegos,-51.62,95,4.29,75
186,thunder bay,48.41,93,5.82,5
187,bara,10.41,98,6.87,68
188,fort saint james,54.43,56,3.96,0
189,bereda,43.27,88,4.7,0
190,talas,38.69,46,3.36,0
191,zyryanka,65.73,54,3.96,0
192,kruisfontein,-34.0,98,5.19,0
193,kalemie,-5.95,95,10.0,0
194,nieuw nickerie,5.94,100,6.76,64
195,talara,-4.58,91,4.97,0
196,kungurtug,50.6,60,3.62,0
197,margate,-43.03,54,8.05,75
198,tetiyiv,49.38,90,7.76,8
199,ahipara,-35.17,100,7.2,0
200,sinjar,35.59,74,9.44,0
201,pochutla,15.74,100,16.26,48
202,birecik,37.03,57,3.36,0
203,ornskoldsvik,63.29,71,23.04,36
204,chokurdakh,70.62,80,13.8,56
205,nizhniy kuranakh,58.84,52,3.4,0
206,taree,-31.91,72,8.05,75
207,ingham,-18.65,88,5.3,0
208,poum,41.28,82,2.24,0
209,emba,34.81,66,2.24,20
210,marawi,8.0,82,6.76,80
211,kuytun,54.34,66,8.21,64
212,port alfred,-33.59,100,5.86,0
213,tevriz,57.51,53,5.97,12
214,carauari,-4.88,95,4.41,24
215,loknya,54.21,58,6.98,12
216,hambantota,6.12,85,21.07,44
217,muncar,-8.43,71,11.45,0
218,ughelli,5.49,89,5.75,88
219,christchurch,-43.53,93,6.93,92
220,yellowknife,62.45,93,3.36,75
221,la baule-escoublac,47.28,77,4.7,0
222,salalah,17.01,94,8.05,90
223,venice,27.1,88,5.82,75
224,kologriv,58.83,97,8.55,88
225,dorgos,46.05,83,6.93,20
226,itarema,-2.92,86,13.13,88
227,ahuimanu,21.44,74,8.05,75
228,iqaluit,63.75,93,5.82,90
229,porto novo,-23.68,87,3.36,75
230,okhotsk,59.36,78,9.1,88
231,severo-kurilsk,50.68,87,4.07,80
232,jutai,-1.71,94,4.41,0
233,casa nova,-11.77,94,4.97,8
234,kampong cham,11.99,100,4.18,92
235,lorengau,-2.02,100,6.2,88
236,meadow lake,54.13,88,7.31,0
237,pevek,69.7,86,9.33,24
238,ako,34.79,50,5.82,40
239,brae,60.4,87,11.41,75
240,micheweni,-4.97,99,14.36,68
241,san cristobal,-0.39,93,5.82,40
242,hofn,64.25,100,17.83,92
243,oranjemund,-28.55,100,8.99,0
244,fortuna,38.18,57,2.06,0
245,diamantino,-14.4,85,7.65,24
246,kirkwall,58.98,93,10.29,75
247,provideniya,64.42,81,8.95,90
248,sabha,27.03,23,14.47,12
249,logan lake,50.49,38,2.06,20
250,turan,52.15,92,2.17,92
251,maymyo,22.03,70,2.24,75
252,alice springs,-23.7,23,11.41,0
253,san isidro,16.74,86,3.4,92
254,islamkot,24.7,51,18.05,0
255,thinadhoo,0.53,100,10.67,88
256,ushibuka,32.19,73,6.31,0
257,san jeronimo,-13.65,84,1.95,12
258,georgetown,6.8,90,2.84,44
259,susanville,40.42,27,6.93,1
260,lebu,8.96,97,3.74,76
261,puerto carreno,6.19,94,2.17,32
262,fuxin,42.02,59,4.97,0
263,requena,39.49,74,3.36,20
264,tullahoma,35.36,88,2.73,1
265,nome,30.04,83,5.75,1
266,kununurra,-15.77,17,12.75,0
267,abu kamal,34.45,27,10.56,0
268,zhuji,29.72,53,2.24,40
269,serebryansk,49.68,47,2.24,0
270,yumen,40.29,63,6.08,20
271,tocantins,-21.17,93,2.95,92
272,tarauaca,-8.16,96,3.06,68
273,tual,-5.67,100,10.67,68
274,coquimbo,-29.95,93,6.93,0
275,mana,43.52,93,1.12,0
276,monrovia,6.33,94,3.18,75
277,malindi,-3.22,81,10.0,32
278,chumphon,10.5,74,12.75,75
279,lavrentiya,65.58,95,8.77,92
280,berlevag,70.86,81,14.99,75
281,rio claro,-22.41,95,3.96,92
282,stange,60.72,54,3.06,0
283,chapais,49.78,88,10.29,90
284,san quintin,17.54,70,6.93,20
285,buchanan,5.88,94,4.63,75
286,izhma,65.01,66,7.09,76
287,anadyr,64.73,93,8.95,90
288,vigrestad,58.57,87,6.93,75
289,ribeira grande,38.52,100,9.44,12
290,henties bay,-22.12,100,3.62,0
291,dingle,11.0,96,13.24,92
292,bethel,60.79,100,16.11,90
293,guigue,10.09,100,1.5,56
294,qaqortoq,60.72,81,4.7,0
295,mackenzie,55.34,56,4.7,75
296,qobustan,40.08,48,18.34,0
297,port moresby,-9.47,83,13.87,90
298,buenos aires,-34.61,87,5.82,0
299,teguise,29.06,88,18.34,20
300,anan,33.91,50,3.36,20
301,kuznechikha,63.45,86,4.18,44
302,mahina,13.76,97,6.87,76
303,baghmara,23.8,93,8.21,92
304,mende,44.52,81,1.95,0
305,nikolskoye,59.7,88,8.95,20
306,college,64.86,93,8.05,90
307,constantine,36.36,100,1.12,20
308,mehriz,31.58,10,4.7,0
309,port blair,11.67,100,28.79,88
310,udachnyy,66.42,51,5.53,0
311,amambai,-23.11,99,3.74,92
312,las juntas,10.28,77,6.64,20
313,atar,20.52,53,2.62,0
314,okha,53.59,48,13.35,44
315,beyneu,45.32,50,4.52,0
316,paciran,-6.9,38,4.29,0
317,sikonge,-5.63,72,9.17,0
318,kasongo-lunda,-6.48,90,2.95,0
319,lasa,34.92,66,2.24,20
320,majene,-3.54,93,14.36,0
321,angoche,-16.23,100,6.2,0
322,phuket,7.89,66,13.87,75
323,matay,28.42,50,9.89,0
324,yenagoa,4.92,88,5.97,80
325,vikhorevka,56.12,82,13.42,75
326,kutum,14.2,95,3.85,48
327,guerrero negro,27.97,93,7.09,8
328,tilichiki,60.47,89,8.32,68
329,tomatlan,19.93,98,2.17,80
330,gustrow,53.8,87,4.7,40
331,sao filipe,14.9,100,2.28,100
332,kapit,2.02,67,2.73,44
333,padang,-0.92,100,7.65,88
334,hamilton,43.26,88,10.29,20
335,sao joao da barra,-21.64,100,6.76,44
336,moosomin,50.14,85,5.19,0
337,griffith,-34.29,70,20.29,92
338,fort-shevchenko,44.51,72,7.43,0
339,carnarvon,-30.97,65,3.06,0
340,guarapuava,-25.4,76,2.62,92
341,makakilo city,21.35,74,8.05,75
342,kodiak,39.95,54,8.05,1
343,tiarei,-17.53,57,8.05,20
344,ouesso,1.61,99,2.39,88
345,muros,42.77,88,4.7,0
346,ende,-8.84,100,11.01,48
347,komsomolskiy,67.55,66,16.26,88
348,sorland,67.67,87,8.05,75
349,kaitangata,-46.28,90,4.63,36
350,abha,18.22,77,2.17,0
351,uzyn,49.83,77,6.71,0
352,oksovskiy,62.61,96,3.96,32
353,nuevo casas grandes,30.42,36,8.21,36
354,kavaratti,10.57,98,19.51,92
355,springbok,-29.67,70,2.62,0
356,vila franca do campo,37.72,68,8.05,75
357,kamennogorsk,60.95,67,12.75,0
358,puksoozero,62.59,100,5.75,20
359,rondonopolis,-16.46,76,6.76,8
360,suruc,36.98,42,6.93,0
361,kainantu,-6.29,75,0.27,56
362,clyde,-45.19,95,1.72,0
363,natal,-5.81,88,5.82,20
364,qandala,11.47,49,4.29,0
365,klaksvik,62.23,100,8.05,92
366,talaya,55.79,68,3.96,8
367,san vicente,13.64,100,2.24,0
368,sabang,13.72,89,13.58,88
369,tagusao,9.19,99,18.5,92
370,cap malheureux,-19.98,57,17.22,40
371,jalu,29.03,38,9.78,0
372,puqi,29.72,76,4.07,56
373,aswan,24.09,28,6.64,0
374,vieux-habitants,16.06,94,1.12,40
375,half moon bay,37.46,93,8.99,90
376,luderitz,-26.65,93,8.32,0
377,zumpango,19.56,100,2.73,36
378,namibe,-15.19,100,13.58,0
379,aykhal,65.95,47,8.66,0
380,burnie,-41.05,100,15.7,92
381,looc,10.32,66,13.87,75
382,karoi,-16.82,47,6.87,0
383,russell,-33.01,65,2.24,0
384,le vauclin,14.55,94,2.24,75
385,conceicao do araguaia,-8.26,71,2.73,12
386,ilulissat,69.22,70,2.24,0
387,castelo do piaui,-5.32,49,8.77,12
388,oranjestad,12.52,88,14.99,20
389,hervey bay,-25.3,85,14.81,0
390,alta floresta,-9.87,77,1.16,56
391,koson,39.04,26,4.7,0
392,bellavista,6.57,100,2.39,92
393,vanavara,60.35,71,8.32,44
394,lampang,18.29,62,3.36,75
395,khatanga,71.98,71,15.7,56
396,kulhudhuffushi,6.62,98,15.48,88
397,sosnovo-ozerskoye,52.53,93,10.78,48
398,zabid,14.2,54,3.51,0
399,san rafael del sur,11.85,78,4.7,40
400,los banos,37.06,63,8.66,1
401,strezhevoy,60.73,72,8.95,0
402,el alto,-16.5,92,5.82,20
403,zhigansk,66.77,60,4.97,0
404,jackson,35.61,100,2.39,1
405,nouadhibou,20.93,88,20.8,75
406,cairns,-16.92,69,9.17,75
407,zhezkazgan,47.8,37,8.95,75
408,saint anthony,43.97,48,9.17,1
409,ugoofaaru,5.67,99,14.14,24
410,pervomayskiy,53.24,61,6.98,0
411,paragominas,-3.0,90,4.74,0
412,kuruman,-27.46,63,0.38,0
413,kaabong,3.51,66,3.74,0
414,punto fijo,11.69,78,17.16,56
415,batagay-alyta,67.8,53,8.66,0
416,hirara,24.8,66,10.29,20
417,pimenta bueno,-11.68,72,3.62,56
418,south venice,27.05,88,4.7,20
419,callaguip,18.07,70,6.93,20
420,tupik,54.43,57,5.41,92
421,mogzon,51.74,87,9.89,76
422,saint-junien,45.89,56,3.36,0
423,bathsheba,13.22,83,11.41,40
424,neepawa,50.23,93,5.82,40
425,ketchikan,55.34,77,5.64,1
426,yuli,10.52,99,3.06,92
427,marabba,12.35,83,4.85,80
428,amazar,53.86,61,3.96,92
429,kollam,8.88,74,12.75,40
430,quang ngai,15.12,71,3.06,44
431,texarkana,33.44,69,9.17,1
432,olenegorsk,68.14,89,3.18,32
433,bam,29.11,14,13.02,0
434,petropavlovsk-kamchatskiy,53.05,64,15.66,40
435,esperance,10.24,88,4.29,20
436,orange,-33.28,93,12.46,64
437,sarkand,45.41,30,7.76,12
438,vermilion,53.35,87,8.05,1
439,camacha,33.08,88,21.92,40
440,tommot,58.97,52,3.51,0
441,saint-paul,45.22,72,3.36,0
442,kokopo,-4.34,100,1.61,80
443,vostok,46.45,63,2.73,64
444,ocampo,13.56,89,13.58,88
445,lucea,18.44,78,3.36,20
446,tura,25.52,87,3.62,20
447,saint-augustin,44.83,82,2.24,0
448,harper,30.3,65,8.66,1
449,lompoc,34.64,67,3.36,1
450,banjarmasin,-3.32,49,4.7,40
451,ferme-neuve,46.7,88,4.74,12
452,zhanaozen,43.35,43,6.76,0
453,takoradi,4.89,100,8.43,88
454,naron,43.52,88,4.7,0
455,katra,32.99,94,1.39,80
456,suicheng,33.9,69,5.75,48
457,sambava,-14.27,100,13.02,100
458,sassandra,4.95,100,8.21,92
459,smithers,54.78,37,3.36,40
460,tirano,46.22,93,1.12,0
461,san pedro,-33.68,82,8.21,0
462,nishihara,35.74,59,5.82,75
463,saravena,6.96,95,0.72,0
464,jimma,7.67,99,2.39,92
465,korem,12.51,97,3.06,80
466,balikpapan,-1.24,79,8.05,40
467,upington,-28.46,74,1.12,0
468,freeport,26.54,92,14.03,0
469,arti,56.43,77,6.53,24
470,avesta,60.15,82,6.93,24
471,sechura,-5.56,92,9.66,0
472,pando,-34.72,93,6.93,12
473,biloela,-24.4,69,11.23,36
474,preobrazheniye,42.9,61,2.62,0
475,gwadar,25.12,75,8.66,0
476,baykit,61.68,77,8.66,68
477,karlskrona,56.16,82,5.82,0
478,inirida,3.87,95,2.73,24
479,kampot,10.62,74,13.8,88
480,taganak,6.08,63,9.17,75
481,warmbad,50.67,87,1.12,0
482,shubarshi,48.59,79,7.2,12
483,katherine,-14.47,14,10.29,0
484,alenquer,-1.95,100,2.24,0
485,shingu,33.72,66,13.87,40
486,quimper,48.0,72,4.7,0
487,tombouctou,16.77,79,11.12,0
488,vila do maio,15.13,83,5.82,40
489,maine-soroa,13.21,98,11.12,56
490,doka,13.52,97,4.63,8
491,wadowice,49.88,88,2.24,75
492,eidsvag,62.78,87,12.75,75
493,ulundi,-28.29,80,1.61,56
494,ust-omchug,61.13,97,3.4,92
495,mugur-aksy,50.38,64,1.28,88
496,minbu,20.18,96,9.78,92
497,stokmarknes,68.56,93,3.36,75
498,wukari,7.87,98,11.12,92
499,verkh-usugli,52.7,89,6.76,92
500,urazovo,50.09,81,4.41,44
501,goderich,43.74,71,11.23,0
502,nogliki,51.8,80,10.89,0
503,praia da vitoria,38.73,83,11.79,75
504,xuddur,4.12,70,12.68,0
505,te anau,-45.41,96,1.05,0
506,san pedro de macoris,18.46,94,4.7,40
507,leshukonskoye,64.9,96,4.85,88
508,norman wells,65.28,93,2.51,90
509,bacolod,10.68,81,18.28,64
510,chicama,-7.84,88,8.05,90
511,vrangel,42.73,98,12.01,0
512,mount gambier,-37.83,99,8.21,24
513,sola,58.89,87,6.93,75
514,atasu,48.68,38,10.78,92
515,lerwick,60.15,87,11.41,75
516,kassala,15.45,90,4.29,0
517,jiexiu,37.02,74,3.96,12
518,ust-uda,54.17,80,10.45,48
519,madras,44.63,37,6.93,1
520,havoysund,71.0,87,10.29,75
521,cerritos,33.86,83,5.08,1
522,mbanza-ngungu,-5.25,80,6.98,0
523,narsaq,60.91,81,4.7,0
524,buala,-8.15,82,8.1,12
525,fairbanks,64.84,93,8.05,90
526,sisophon,13.59,88,8.66,88
527,kloulklubed,7.04,74,8.05,75
528,finnsnes,69.23,81,5.82,75
529,kigorobya,1.62,100,6.2,92
530,penukonda,14.08,72,19.28,92
531,fort smith,35.39,65,3.36,1
532,ambikapur,23.12,100,5.86,92
533,buluang,10.47,66,13.87,75
534,rio rancho,35.27,43,8.05,1
535,gimli,50.63,94,9.33,0
536,deputatskiy,69.3,43,6.2,0
537,krasnik,50.92,60,8.66,0
538,dali,25.6,71,2.51,36
539,saint-francois,46.42,82,1.16,0
540,kang,-23.67,42,0.83,0
541,raudeberg,61.99,76,10.29,75
542,richmond,49.16,77,3.36,75
543,bambanglipuro,-7.95,48,10.67,0
544,flinders,-34.58,36,17.22,0
545,yelnya,54.58,89,7.65,24
546,ulladulla,-35.36,36,17.22,0
547,beloha,-25.17,44,4.41,0
548,tigil,57.8,75,6.53,80
549,ust-kuyga,70.0,60,11.23,0
550,preeceville,51.95,81,4.18,0
551,sibiti,-3.69,82,4.29,20
552,genhe,50.78,79,5.97,68
553,broken hill,-31.97,43,21.85,0
554,leningradskiy,69.38,98,6.42,68
555,bubaque,11.28,94,4.7,40
556,vilyuysk,63.75,61,5.08,0
557,drabiv,49.96,87,5.19,32
558,buribay,51.96,50,4.29,0
559,coihaique,-45.58,86,2.24,40
560,sibolga,1.74,73,3.29,36
561,taltal,-25.41,83,3.62,0
562,luanda,-8.83,96,2.51,68
563,tarakan,3.3,76,4.18,36
564,omboue,-1.57,100,9.22,88
565,killybegs,54.63,100,10.78,92
566,chachapoyas,-6.23,89,2.06,20
567,shakiso,5.77,97,3.29,76
568,rocha,-34.48,78,3.18,0
569,treinta y tres,-33.23,78,2.73,0
570,teguldet,57.31,61,3.85,48
571,tazmalt,36.39,88,8.05,20
572,putina,-14.91,60,1.16,0
573,wahiawa,21.5,74,8.05,75
574,gravdal,59.79,87,10.29,75
575,huainan,32.59,76,4.18,0
576,antofagasta,-23.65,87,5.82,0
577,cham,49.22,87,2.24,0
578,keuruu,62.26,71,14.99,40
579,miles city,46.41,60,4.7,75
580,cortez,37.35,30,4.7,1
581,hohhot,40.81,65,4.47,40
582,linxia,35.6,75,3.96,8
583,arlit,18.74,71,9.1,0
584,mitsamiouli,-11.38,83,2.24,20
585,yar-sale,66.83,79,10.45,44
586,mehamn,71.03,87,6.93,75
587,helong,25.94,71,3.18,36
588,abbeville,50.11,87,5.82,0
589,iisalmi,63.56,82,8.05,40
590,tayu,35.06,59,5.82,40
591,evensk,61.92,99,6.98,64
592,mabaruma,8.2,98,4.41,24
